latency_budget_ms,peak_memory_budget_bytes,ilp_risk_reduction,bounded_loss_risk_reduction,risk_retention,risk_loss,ilp_peak_extra_memory_bytes,bounded_loss_peak_extra_memory_bytes,peak_memory_saving_bytes,peak_memory_saving_ratio,ilp_latency_ms,bounded_loss_latency_ms,latency_saving_ms,ilp_selected_count,bounded_loss_selected_count
5.0,1048576,0.009936135147734334,0.009936120117692888,0.9999984873352443,1.5126647556762407e-06,80,0,80,1.0,4.9950801298397245,4.970010185783163,0.025069944056561155,12,11
10.0,1048576,0.013488408167267613,0.013440162842747612,0.9964232010240408,0.0035767989759591945,802816,0,802816,1.0,9.987635222026055,9.895700034086623,0.09193518793943234,19,18
20.0,1048576,0.014269768719437989,0.013594039063840536,0.9526460681400541,0.04735393185994585,802816,0,802816,1.0,19.956723449599046,10.277520733067913,9.679202716531133,26,20
40.0,1048576,0.014643795650048561,0.014643795650048561,1.0,0.0,802816,802816,0,0.0,39.62711342993549,39.62711342993549,0.0,30,30
80.0,1048576,0.014782055999304237,0.014782040969262791,0.9999989832238867,1.0167761133050846e-06,802816,802816,0,0.0,59.938760708669754,59.913690764613186,0.02506994405656826,37,36
160.0,1048576,0.014782055999304237,0.014782040969262791,0.9999989832238867,1.0167761133050846e-06,802816,802816,0,0.0,59.938760708669754,59.913690764613186,0.02506994405656826,37,36
5.0,4194304,0.010954087852375855,0.010501883753996603,0.9587182333688175,0.04128176663118255,3211264,1605632,1605632,0.5,4.9939979055213435,4.969314691268771,0.024683214252572583,11,14
10.0,4194304,0.015092857011427482,0.014366533385128154,0.951876332907057,0.04812366709294302,3211264,1605632,1605632,0.5,9.986472940079786,9.984042714176978,0.0024302259028079476,21,21
20.0,4194304,0.01839745598107787,0.018397440951036424,0.9999991830369667,8.169630333343392e-07,3211264,3211264,0,0.0,19.801838040807368,19.776768096750807,0.025069944056561155,30,29
40.0,4194304,0.020707916045800096,0.020707916045800096,1.0,0.0,3211264,3211264,0,0.0,39.68365801659898,39.68365801659898,0.0,37,37
80.0,4194304,0.022366763063157505,0.022366763063157505,1.0,0.0,3211264,3211264,0,0.0,79.66181201979043,79.66181201979043,0.0,48,48
160.0,4194304,0.022566853442652007,0.022566838412610563,0.9999993339770881,6.660229119326289e-07,3211264,3211264,0,0.0,104.04871200955274,104.02364206549618,0.02506994405656826,54,53
5.0,8388608,0.010954087852375855,0.010501883753996603,0.9587182333688175,0.04128176663118255,3211264,1605632,1605632,0.5,4.9939979055213435,4.969314691268771,0.024683214252572583,11,14
10.0,8388608,0.01557732639270448,0.015092841981386036,0.9688981023376804,0.031101897662319633,6422528,3211264,3211264,0.5,9.9930858264023,9.961402996023224,0.03168283037907571,18,20
20.0,8388608,0.02127766579183979,0.02127766579183979,1.0,0.0,6422528,6422528,0,0.0,19.980956631391173,19.980956631391173,0.0,26,26
40.0,8388608,0.024752168808223257,0.024744044143749554,0.9996717594915964,0.00032824050840363217,6422528,6422528,0,0.0,39.72412473756305,39.27055649584129,0.45356824172176147,36,34
80.0,8388608,0.027378610931843364,0.02737859590180192,0.9999994510298027,5.489701973004912e-07,6422528,6422528,0,0.0,79.20056942422408,79.17549948016752,0.02506994405656826,45,44
160.0,8388608,0.027815483475751968,0.027815468445710523,0.9999994596519792,5.403480207721856e-07,6422528,6422528,0,0.0,116.03877925726583,116.01370931320926,0.02506994405656826,55,54
