repeat,spearman_vs_full,highest_risk_node,top5_jaccard_vs_full,top5_overlap_vs_full,top10_jaccard_vs_full,top10_overlap_vs_full,top20_jaccard_vs_full,top20_overlap_vs_full
0,0.837559371574717,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.48148148148148145,0.65
1,0.7990135184508588,0,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8
2,0.7915966386554623,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.5384615384615384,0.7
3,0.7702959444647426,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6,0.75
4,0.8614906832298138,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.7391304347826086,0.85
5,0.8260504201680673,58,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
6,0.8824990865911583,0,0.25,0.4,0.42857142857142855,0.6,0.6666666666666666,0.8
7,0.8317500913408843,0,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
8,0.7563390573620754,46,0.6666666666666666,0.8,0.3333333333333333,0.5,0.6666666666666666,0.8
9,0.8480087687248813,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6,0.75
10,0.8407745706978444,0,0.25,0.4,0.5384615384615384,0.7,0.6,0.75
11,0.7084764340518818,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
12,0.8559006211180126,0,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
13,0.8035074899525029,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.6,0.75
14,0.8226525392765803,0,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
15,0.7948849104859336,0,0.25,0.4,0.5384615384615384,0.7,0.6666666666666666,0.8
16,0.7619291194738766,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.42857142857142855,0.6
17,0.8540738034344173,0,0.25,0.4,0.42857142857142855,0.6,0.7391304347826086,0.85
18,0.7965655827548411,58,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,0.75
19,0.8730361709901352,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.7391304347826086,0.85
20,0.8354767994154184,0,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
21,0.7972963098282793,0,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6,0.75
22,0.7823894775301427,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
23,0.8055900621118014,0,0.25,0.4,0.6666666666666666,0.8,0.5384615384615384,0.7
24,0.8255389112166606,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
25,0.7528681037632445,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
26,0.8215564486664233,0,0.25,0.4,0.3333333333333333,0.5,0.42857142857142855,0.6
27,0.893533065400073,0,0.25,0.4,0.6666666666666666,0.8,0.6666666666666666,0.8
28,0.8609791742784071,0,0.6666666666666666,0.8,0.6666666666666666,0.8,0.5384615384615384,0.7
29,0.8607964925100476,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.5384615384615384,0.7
30,0.8552064303982464,0,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6,0.75
31,0.8113993423456339,0,0.6666666666666666,0.8,0.42857142857142855,0.6,0.6,0.75
32,0.8077091706247718,0,0.1111111111111111,0.2,0.25,0.4,0.42857142857142855,0.6
33,0.8677383997077092,0,0.25,0.4,0.5384615384615384,0.7,0.6,0.75
34,0.8326269638290099,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.42857142857142855,0.6
35,0.8472780416514433,0,0.25,0.4,0.42857142857142855,0.6,0.6666666666666666,0.8
36,0.778443551333577,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.6,0.75
37,0.8686518085495069,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.8181818181818182,0.9
38,0.8695286810376327,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6666666666666666,0.8
39,0.7722689075630252,0,0.6666666666666666,0.8,0.3333333333333333,0.5,0.48148148148148145,0.65
40,0.7975520643039825,0,0.42857142857142855,0.6,0.3333333333333333,0.5,0.5384615384615384,0.7
41,0.7657654366094264,54,0.42857142857142855,0.6,0.25,0.4,0.42857142857142855,0.6
42,0.7774936061381076,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.5384615384615384,0.7
43,0.8221775666788456,63,0.42857142857142855,0.6,0.6666666666666666,0.8,0.5384615384615384,0.7
44,0.6960175374497626,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.42857142857142855,0.6
45,0.8215929850200951,0,0.25,0.4,0.42857142857142855,0.6,0.6,0.75
46,0.822396784800877,0,0.25,0.4,0.3333333333333333,0.5,0.5384615384615384,0.7
47,0.8463646328096457,0,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8
48,0.819364267446109,0,0.6666666666666666,0.8,0.6666666666666666,0.8,0.5384615384615384,0.7
49,0.8293021556448668,0,0.25,0.4,0.25,0.4,0.5384615384615384,0.7
50,0.7932407745706979,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.5384615384615384,0.7
51,0.7699671172816954,0,0.25,0.4,0.6666666666666666,0.8,0.48148148148148145,0.65
52,0.8398246255023749,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.5384615384615384,0.7
53,0.822396784800877,0,0.42857142857142855,0.6,0.8181818181818182,0.9,0.6666666666666666,0.8
54,0.8361344537815127,0,0.1111111111111111,0.2,0.5384615384615384,0.7,0.6,0.75
55,0.8115454877603216,0,0.25,0.4,0.5384615384615384,0.7,0.5384615384615384,0.7
56,0.7772013153087323,0,0.42857142857142855,0.6,0.5384615384615384,0.7,0.48148148148148145,0.65
57,0.7718670076726344,0,0.25,0.4,0.3333333333333333,0.5,0.42857142857142855,0.6
58,0.8117647058823532,0,0.6666666666666666,0.8,0.5384615384615384,0.7,0.48148148148148145,0.65
59,0.8603945926196566,0,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
