repeat,spearman_vs_full,highest_risk_node,top5_jaccard_vs_full,top5_overlap_vs_full,top10_jaccard_vs_full,top10_overlap_vs_full,top20_jaccard_vs_full,top20_overlap_vs_full
0,0.8404235440672688,44,0.42857142857142855,0.6,0.8181818181818182,0.9,0.42857142857142855,0.6
1,0.8512270931418349,138,0.42857142857142855,0.6,0.6666666666666666,0.8,0.6,0.75
2,0.8212321615036547,44,0.42857142857142855,0.6,0.42857142857142855,0.6,0.42857142857142855,0.6
3,0.8514322701986431,44,0.1111111111111111,0.2,0.3333333333333333,0.5,0.3793103448275862,0.55
4,0.9218006729318947,157,0.42857142857142855,0.6,0.42857142857142855,0.6,0.5384615384615384,0.7
5,0.8718473873510788,44,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
6,0.8519354425046257,157,0.25,0.4,0.5384615384615384,0.7,0.42857142857142855,0.6
7,0.8244710279004158,157,0.6666666666666666,0.8,0.25,0.4,0.5384615384615384,0.7
8,0.90891115711311,44,0.42857142857142855,0.6,0.5384615384615384,0.7,0.42857142857142855,0.6
9,0.894622040656811,116,0.25,0.4,0.25,0.4,0.3793103448275862,0.55
10,0.8652475253570753,4,0.25,0.4,0.5384615384615384,0.7,0.5384615384615384,0.7
11,0.8685963080342696,44,0.25,0.4,0.1111111111111111,0.2,0.3333333333333333,0.5
12,0.8511342749494692,44,0.42857142857142855,0.6,0.3333333333333333,0.5,0.48148148148148145,0.65
13,0.8414005776711184,44,0.6666666666666666,0.8,0.25,0.4,0.48148148148148145,0.65
14,0.8801888117439439,44,0.25,0.4,0.25,0.4,0.5384615384615384,0.7
15,0.8855942501572414,44,0.25,0.4,0.42857142857142855,0.6,0.48148148148148145,0.65
16,0.9105843271597025,44,0.42857142857142855,0.6,0.17647058823529413,0.3,0.3333333333333333,0.5
17,0.8086430835180539,44,0.1111111111111111,0.2,0.42857142857142855,0.6,0.48148148148148145,0.65
18,0.8130348495673575,157,0.42857142857142855,0.6,0.3333333333333333,0.5,0.3333333333333333,0.5
19,0.8425559199076703,138,0.42857142857142855,0.6,0.42857142857142855,0.6,0.3333333333333333,0.5
20,0.9040137761738143,44,0.25,0.4,0.3333333333333333,0.5,0.5384615384615384,0.7
21,0.839668785608295,66,0.25,0.4,0.17647058823529413,0.3,0.42857142857142855,0.6
