repeat,spearman_vs_full,highest_risk_node,top5_jaccard_vs_full,top5_overlap_vs_full,top10_jaccard_vs_full,top10_overlap_vs_full,top20_jaccard_vs_full,top20_overlap_vs_full
0,0.8304250901048688,157,0.25,0.4,0.6666666666666666,0.8,0.48148148148148145,0.65
1,0.8202876287373188,157,0.1111111111111111,0.2,0.25,0.4,0.42857142857142855,0.6
2,0.8579984452939717,157,0.25,0.4,0.3333333333333333,0.5,0.5384615384615384,0.7
3,0.8963823420687935,46,0.1111111111111111,0.2,0.25,0.4,0.48148148148148145,0.65
4,0.8728143058524688,157,0.25,0.4,0.42857142857142855,0.6,0.5384615384615384,0.7
5,0.8645300931454503,157,0.25,0.4,0.3333333333333333,0.5,0.5384615384615384,0.7
6,0.9158176888848263,157,0.25,0.4,0.3333333333333333,0.5,0.5384615384615384,0.7
7,0.8192062714355708,157,0.42857142857142855,0.6,0.42857142857142855,0.6,0.42857142857142855,0.6
8,0.9131098836404461,157,0.42857142857142855,0.6,0.17647058823529413,0.3,0.42857142857142855,0.6
9,0.861171752154003,53,0.42857142857142855,0.6,0.3333333333333333,0.5,0.2903225806451613,0.45
10,0.8402680532945583,157,0.42857142857142855,0.6,0.3333333333333333,0.5,0.48148148148148145,0.65
11,0.9147790488166245,157,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8
12,0.8363744924767137,99,0.0,0.0,0.17647058823529413,0.3,0.6,0.75
13,0.9188332650491801,157,0.42857142857142855,0.6,0.42857142857142855,0.6,0.6,0.75
14,0.8738889799511803,157,0.42857142857142855,0.6,0.42857142857142855,0.6,0.48148148148148145,0.65
15,0.8477713233750975,44,0.25,0.4,0.25,0.4,0.48148148148148145,0.65
16,0.9047913845549171,157,0.25,0.4,0.25,0.4,0.48148148148148145,0.65
17,0.8910826983246253,157,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6666666666666666,0.8
18,0.9152195403173249,157,0.6666666666666666,0.8,0.42857142857142855,0.6,0.5384615384615384,0.7
19,0.8849757461567799,119,0.25,0.4,0.42857142857142855,0.6,0.5384615384615384,0.7
20,0.8462246205100117,157,0.42857142857142855,0.6,0.3333333333333333,0.5,0.42857142857142855,0.6
21,0.8615890376317744,119,0.1111111111111111,0.2,0.3333333333333333,0.5,0.42857142857142855,0.6
22,0.8711129687126822,157,0.42857142857142855,0.6,0.42857142857142855,0.6,0.42857142857142855,0.6
23,0.8461607356102222,157,0.25,0.4,0.3333333333333333,0.5,0.5384615384615384,0.7
