node_id,tensor_id,injections,critical_failures,critical_probability,ci_low,ci_high,mean_severity,activation_bytes,exposure_ratio,risk,module_name,invocation_index,retained_after_passes,runtime_node_id,runtime_tensor_id,candidate
5,5,120,15,0.125,0.07723428880969682,0.19603091448225032,0.11890858840116027,802816,0.009685225350482838,0.11194566963533835,layer1.0.relu,2,True,3.0,112.0,layer1.0.relu@2
1,1,120,13,0.10833333333333334,0.0644107989410726,0.1765550800527389,0.10859776092804958,3211264,0.03874090140193135,0.10144019703887219,relu,1,True,0.0,109.0,relu@1
30,30,120,9,0.075,0.039956662006448734,0.13641056839109136,0.07631888093270427,401408,0.004842612675241419,0.06831398150070021,layer2.1.conv2,1,False,,,layer2.1.conv2@1
48,48,120,8,0.06666666666666667,0.03416489747129058,0.12605267077718166,0.06801097631917243,200704,0.0024213063376207094,0.06057820804688851,layer3.0.conv2,1,False,,,layer3.0.conv2@1
6,6,120,7,0.058333333333333334,0.02854064663137293,0.1155272594680315,0.05226070705800502,3211264,0.03874090140193135,0.05485593357136105,layer1.0.conv3,1,True,4.0,113.0,layer1.0.conv3@1
3,3,120,7,0.058333333333333334,0.02854064663137293,0.1155272594680315,0.0586309787903441,802816,0.009685225350482838,0.053542933899300975,layer1.0.relu,1,True,2.0,111.0,layer1.0.relu@1
37,37,120,7,0.058333333333333334,0.02854064663137293,0.1155272594680315,0.05886865087974111,401408,0.004842612675241419,0.053118090654126086,layer2.2.relu,2,True,25.0,134.0,layer2.2.relu@2
65,65,120,7,0.058333333333333334,0.02854064663137293,0.1155272594680315,0.05838252338553597,200704,0.0024213063376207094,0.05275442814681273,layer3.3.conv1,1,False,,,layer3.3.conv1@1
85,85,120,7,0.058333333333333334,0.02854064663137293,0.1155272594680315,0.05840381613844855,100352,0.0012106531688103547,0.052638686018159846,layer4.0.conv2,1,False,,,layer4.0.conv2@1
58,58,120,6,0.05,0.023114049304474235,0.10480419464586234,0.05017909893725363,802816,0.009685225350482838,0.046013297269361694,layer3.1.relu,3,True,40.0,149.0,layer3.1.relu@3
27,27,120,5,0.041666666666666664,0.01792645250583781,0.0938421292954309,0.041669100554171175,1605632,0.019370450700965675,0.03943765354197269,layer2.0.relu,3,True,19.0,128.0,layer2.0.relu@3
12,12,120,5,0.041666666666666664,0.01792645250583781,0.0938421292954309,0.042824175244282246,802816,0.009685225350482838,0.03875789967945218,layer1.1.relu,2,True,8.0,117.0,layer1.1.relu@2
4,4,120,5,0.041666666666666664,0.01792645250583781,0.0938421292954309,0.04189292551883116,802816,0.009685225350482838,0.03852508724808941,layer1.0.conv2,1,False,,,layer1.0.conv2@1
50,50,120,5,0.041666666666666664,0.01792645250583781,0.0938421292954309,0.04176066864100034,802816,0.009685225350482838,0.0384920230286317,layer3.0.conv3,1,True,34.0,143.0,layer3.0.conv3@1
52,52,120,5,0.041666666666666664,0.01792645250583781,0.0938421292954309,0.041704007872403775,802816,0.009685225350482838,0.03847785783648256,layer3.0.relu,3,True,36.0,145.0,layer3.0.relu@3
40,40,120,5,0.041666666666666664,0.01792645250583781,0.0938421292954309,0.04232734096580509,401408,0.004842612675241419,0.03814942984230875,layer2.3.conv1,1,False,,,layer2.3.conv1@1
53,53,120,5,0.041666666666666664,0.01792645250583781,0.0938421292954309,0.04167469179613408,200704,0.0024213063376207094,0.03774413691612893,layer3.1.conv1,1,False,,,layer3.1.conv1@1
7,7,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.03414882823321837,3211264,0.03874090140193135,0.034077963865164394,layer1.0.downsample.0,1,True,5.0,114.0,layer1.0.downsample.0@1
8,8,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.03336013032153405,3211264,0.03874090140193135,0.033880789387243315,layer1.0.relu,3,True,6.0,115.0,layer1.0.relu@3
26,26,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.034561068106781244,1605632,0.019370450700965675,0.032243978763458546,layer2.0.downsample.0,1,True,18.0,127.0,layer2.0.downsample.0@1
32,32,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.03349299535654725,1605632,0.019370450700965675,0.03197696057590005,layer2.1.conv3,1,True,22.0,131.0,layer2.1.conv3@1
25,25,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.033353788824053376,1605632,0.019370450700965675,0.03194215894277658,layer2.0.conv3,1,True,17.0,126.0,layer2.0.conv3@1
45,45,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.03334369787235517,1605632,0.019370450700965675,0.031939636204852025,layer2.3.relu,3,True,31.0,140.0,layer2.3.relu@3
9,9,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.033360254123500216,802816,0.009685225350482838,0.030975252732590004,layer1.1.conv1,1,False,,,layer1.1.conv1@1
24,24,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.03335321982695039,401408,0.004842612675241419,0.030489232890928405,layer2.0.relu,2,True,16.0,125.0,layer2.0.relu@2
36,36,120,4,0.03333333333333333,0.013037340166920576,0.0825815794852803,0.03334190058897826,401408,0.004842612675241419,0.030486403081435375,layer2.2.conv2,1,False,,,layer2.2.conv2@1
