tensor_id,name,size,aligned_size,first_use,last_use,offset,memory_class
0,images,4915200,4915200,0,0,0,INPUT
1,model.0.conv.weight,1728,1728,-1,171,0,WEIGHT
2,model.0.conv.bias,64,64,-1,171,0,WEIGHT
3,model.1.conv.weight,18432,18432,-1,171,0,WEIGHT
4,model.1.conv.bias,128,128,-1,171,0,WEIGHT
5,model.2.cv1.conv.weight,4096,4096,-1,171,0,WEIGHT
6,model.2.cv1.conv.bias,128,128,-1,171,0,WEIGHT
7,onnx::Split_176,8,16,-1,171,0,WEIGHT
8,model.2.m.0.cv1.conv.weight,9216,9216,-1,171,0,WEIGHT
9,model.2.m.0.cv1.conv.bias,64,64,-1,171,0,WEIGHT
10,model.2.m.0.cv2.conv.weight,9216,9216,-1,171,0,WEIGHT
11,model.2.m.0.cv2.conv.bias,64,64,-1,171,0,WEIGHT
12,model.2.cv2.conv.weight,6144,6144,-1,171,0,WEIGHT
13,model.2.cv2.conv.bias,128,128,-1,171,0,WEIGHT
14,model.3.conv.weight,73728,73728,-1,171,0,WEIGHT
15,model.3.conv.bias,256,256,-1,171,0,WEIGHT
16,model.4.cv1.conv.weight,16384,16384,-1,171,0,WEIGHT
17,model.4.cv1.conv.bias,256,256,-1,171,0,WEIGHT
18,onnx::Split_196,8,16,-1,171,0,WEIGHT
19,model.4.m.0.cv1.conv.weight,36864,36864,-1,171,0,WEIGHT
20,model.4.m.0.cv1.conv.bias,128,128,-1,171,0,WEIGHT
21,model.4.m.0.cv2.conv.weight,36864,36864,-1,171,0,WEIGHT
22,model.4.m.0.cv2.conv.bias,128,128,-1,171,0,WEIGHT
23,model.4.m.1.cv1.conv.weight,36864,36864,-1,171,0,WEIGHT
24,model.4.m.1.cv1.conv.bias,128,128,-1,171,0,WEIGHT
25,model.4.m.1.cv2.conv.weight,36864,36864,-1,171,0,WEIGHT
26,model.4.m.1.cv2.conv.bias,128,128,-1,171,0,WEIGHT
27,model.4.cv2.conv.weight,32768,32768,-1,171,0,WEIGHT
28,model.4.cv2.conv.bias,256,256,-1,171,0,WEIGHT
29,model.5.cv1.conv.weight,32768,32768,-1,171,0,WEIGHT
30,model.5.cv1.conv.bias,512,512,-1,171,0,WEIGHT
31,model.5.cv2.conv.weight,4608,4608,-1,171,0,WEIGHT
32,model.5.cv2.conv.bias,512,512,-1,171,0,WEIGHT
33,model.6.cv1.conv.weight,65536,65536,-1,171,0,WEIGHT
34,model.6.cv1.conv.bias,512,512,-1,171,0,WEIGHT
35,onnx::Split_225,8,16,-1,171,0,WEIGHT
36,model.6.m.0.cv1.conv.weight,147456,147456,-1,171,0,WEIGHT
37,model.6.m.0.cv1.conv.bias,256,256,-1,171,0,WEIGHT
38,model.6.m.0.cv2.conv.weight,147456,147456,-1,171,0,WEIGHT
39,model.6.m.0.cv2.conv.bias,256,256,-1,171,0,WEIGHT
40,model.6.m.1.cv1.conv.weight,147456,147456,-1,171,0,WEIGHT
41,model.6.m.1.cv1.conv.bias,256,256,-1,171,0,WEIGHT
42,model.6.m.1.cv2.conv.weight,147456,147456,-1,171,0,WEIGHT
43,model.6.m.1.cv2.conv.bias,256,256,-1,171,0,WEIGHT
44,model.6.cv2.conv.weight,131072,131072,-1,171,0,WEIGHT
45,model.6.cv2.conv.bias,512,512,-1,171,0,WEIGHT
46,model.7.cv1.conv.weight,131072,131072,-1,171,0,WEIGHT
47,model.7.cv1.conv.bias,1024,1024,-1,171,0,WEIGHT
48,model.7.cv2.conv.weight,9216,9216,-1,171,0,WEIGHT
49,model.7.cv2.conv.bias,1024,1024,-1,171,0,WEIGHT
50,model.8.cv1.conv.weight,262144,262144,-1,171,0,WEIGHT
51,model.8.cv1.conv.bias,1024,1024,-1,171,0,WEIGHT
52,onnx::Split_253,8,16,-1,171,0,WEIGHT
53,model.8.m.0.cv1.conv.weight,589824,589824,-1,171,0,WEIGHT
54,model.8.m.0.cv1.conv.bias,512,512,-1,171,0,WEIGHT
55,model.8.m.0.cv2.conv.weight,589824,589824,-1,171,0,WEIGHT
56,model.8.m.0.cv2.conv.bias,512,512,-1,171,0,WEIGHT
57,model.8.cv2.conv.weight,393216,393216,-1,171,0,WEIGHT
58,model.8.cv2.conv.bias,1024,1024,-1,171,0,WEIGHT
59,model.9.cv1.conv.weight,131072,131072,-1,171,0,WEIGHT
60,model.9.cv1.conv.bias,512,512,-1,171,0,WEIGHT
61,model.9.cv2.conv.weight,524288,524288,-1,171,0,WEIGHT
62,model.9.cv2.conv.bias,1024,1024,-1,171,0,WEIGHT
63,model.10.cv1.conv.weight,262144,262144,-1,171,0,WEIGHT
64,model.10.cv1.conv.bias,1024,1024,-1,171,0,WEIGHT
65,model.10.attn.qkv.conv.weight,131072,131072,-1,171,0,WEIGHT
66,model.10.attn.qkv.conv.bias,1024,1024,-1,171,0,WEIGHT
67,/model.10/attn/Constant_output_0,16,16,-1,171,0,WEIGHT
68,onnx::Split_299,12,16,-1,171,0,WEIGHT
69,/model.10/attn/Constant_3_output_0,16,16,-1,171,0,WEIGHT
70,model.10.attn.pe.conv.weight,4608,4608,-1,171,0,WEIGHT
71,model.10.attn.pe.conv.bias,512,512,-1,171,0,WEIGHT
72,/model.10/attn/Constant_1_output_0,4,16,-1,171,0,WEIGHT
73,model.10.attn.proj.conv.weight,65536,65536,-1,171,0,WEIGHT
74,model.10.attn.proj.conv.bias,512,512,-1,171,0,WEIGHT
75,model.10.ffn.0.conv.weight,131072,131072,-1,171,0,WEIGHT
76,model.10.ffn.0.conv.bias,1024,1024,-1,171,0,WEIGHT
77,model.10.ffn.1.conv.weight,131072,131072,-1,171,0,WEIGHT
78,model.10.ffn.1.conv.bias,512,512,-1,171,0,WEIGHT
79,model.10.cv2.conv.weight,262144,262144,-1,171,0,WEIGHT
80,model.10.cv2.conv.bias,1024,1024,-1,171,0,WEIGHT
81,/model.11/Constant_output_0,16,16,-1,171,0,WEIGHT
82,model.13.cv1.conv.weight,196608,196608,-1,171,0,WEIGHT
83,model.13.cv1.conv.bias,512,512,-1,171,0,WEIGHT
84,model.13.m.0.cv1.conv.weight,147456,147456,-1,171,0,WEIGHT
85,model.13.m.0.cv1.conv.bias,256,256,-1,171,0,WEIGHT
86,model.13.m.0.cv2.conv.weight,147456,147456,-1,171,0,WEIGHT
87,model.13.m.0.cv2.conv.bias,256,256,-1,171,0,WEIGHT
88,model.13.cv2.conv.weight,98304,98304,-1,171,0,WEIGHT
89,model.13.cv2.conv.bias,512,512,-1,171,0,WEIGHT
90,model.16.cv1.conv.weight,49152,49152,-1,171,0,WEIGHT
91,model.16.cv1.conv.bias,256,256,-1,171,0,WEIGHT
92,model.16.m.0.cv1.conv.weight,36864,36864,-1,171,0,WEIGHT
93,model.16.m.0.cv1.conv.bias,128,128,-1,171,0,WEIGHT
94,model.16.m.0.cv2.conv.weight,36864,36864,-1,171,0,WEIGHT
95,model.16.m.0.cv2.conv.bias,128,128,-1,171,0,WEIGHT
96,model.16.cv2.conv.weight,24576,24576,-1,171,0,WEIGHT
97,model.16.cv2.conv.bias,256,256,-1,171,0,WEIGHT
98,model.17.conv.weight,147456,147456,-1,171,0,WEIGHT
99,model.17.conv.bias,256,256,-1,171,0,WEIGHT
100,model.23.one2one_cv2.0.0.conv.weight,147456,147456,-1,171,0,WEIGHT
101,model.23.one2one_cv2.0.0.conv.bias,256,256,-1,171,0,WEIGHT
102,model.23.one2one_cv3.0.0.0.conv.weight,2304,2304,-1,171,0,WEIGHT
103,model.23.one2one_cv3.0.0.0.conv.bias,256,256,-1,171,0,WEIGHT
104,model.23.one2one_cv2.0.1.conv.weight,147456,147456,-1,171,0,WEIGHT
105,model.23.one2one_cv2.0.1.conv.bias,256,256,-1,171,0,WEIGHT
106,model.23.one2one_cv3.0.0.1.conv.weight,20480,20480,-1,171,0,WEIGHT
107,model.23.one2one_cv3.0.0.1.conv.bias,320,320,-1,171,0,WEIGHT
108,model.19.cv1.conv.weight,98304,98304,-1,171,0,WEIGHT
109,model.19.cv1.conv.bias,512,512,-1,171,0,WEIGHT
110,model.23.one2one_cv2.0.2.weight,16384,16384,-1,171,0,WEIGHT
111,model.23.one2one_cv2.0.2.bias,256,256,-1,171,0,WEIGHT
112,model.23.one2one_cv3.0.1.0.conv.weight,2880,2880,-1,171,0,WEIGHT
113,model.23.one2one_cv3.0.1.0.conv.bias,320,320,-1,171,0,WEIGHT
114,/model.23/Constant_output_0,12,16,-1,171,0,WEIGHT
115,model.19.m.0.cv1.conv.weight,147456,147456,-1,171,0,WEIGHT
116,model.19.m.0.cv1.conv.bias,256,256,-1,171,0,WEIGHT
117,model.23.one2one_cv3.0.1.1.conv.weight,25600,25600,-1,171,0,WEIGHT
118,model.23.one2one_cv3.0.1.1.conv.bias,320,320,-1,171,0,WEIGHT
119,model.19.m.0.cv2.conv.weight,147456,147456,-1,171,0,WEIGHT
120,model.19.m.0.cv2.conv.bias,256,256,-1,171,0,WEIGHT
121,model.23.one2one_cv3.0.2.weight,25600,25600,-1,171,0,WEIGHT
122,model.23.one2one_cv3.0.2.bias,320,320,-1,171,0,WEIGHT
123,/model.23/Constant_3_output_0,12,16,-1,171,0,WEIGHT
124,model.19.cv2.conv.weight,98304,98304,-1,171,0,WEIGHT
125,model.19.cv2.conv.bias,512,512,-1,171,0,WEIGHT
126,model.20.cv1.conv.weight,65536,65536,-1,171,0,WEIGHT
